id,name,sex,age,contact_state
46042150,Harley,Male,Senior,NV
46042002,Biggie,Male,Adult,NV
46040898,Ziggy,Male,Adult,NV
46039877,Gypsy,Female,Baby,NV
46039306,Theo,Male,Young,NV
46039304,Oliver,Male,Baby,NV
46039303,Macadamia,Female,Baby,NV
46039302,Dodger,Male,Baby,NV
46039301,Huckleberry,Female,Baby,NV
46038709,Fagin,Male,Baby,NV
46038708,Speckles,Female,Baby,NV
46038703,Cashew,Female,Baby,NV
46038700,Dash,Male,Baby,NV
46038243,Sydney,Female,Adult,NV
46038070,Henna,Female,Young,NV
46038064,Rubo,Male,Adult,NV
46038065,Lego,Male,Adult,NV
46038067,Marie,Female,Adult,NV
46038068,Ringo,Male,Young,NV
46038060,Tony,Male,Young,NV
46038062,Duncan,Male,Young,NV
46038063,O&#39;Connor,Male,Adult,NV
46038061,Cream,Male,Baby,NV
46037951,Kimberly Aka Freckles,Female,Baby,NV
46037918,Tina,Female,Baby,NV
46037881,Max,Male,Senior,NV
46037860,Flower,Female,Adult,NV
46037820,Sparky,Female,Senior,NV
46037762,Zoey,Female,Senior,NV
46037742,Cabby,Male,Senior,NV
46037637,Woody Maxum,Male,Adult,NV
46037534,Butch,Male,Senior,NV
46036459,Crockett,Male,Young,NV
46035351,Olga,Female,Adult,NV
46035350,Sruffy,Male,Adult,NV
46035353,Tonka,Male,Adult,NV
46035346,Bear,Male,Young,NV
46035344,Reuban,Male,Young,NV
46035342,Ogie,Male,Adult,NV
46034532,Bella,Female,Young,NV
46033962,Alfred,Male,Adult,NV
46032651,Minnie,Female,Senior,NV
46032592,Jagger,Male,Adult,NV
46032594,Marley,Male,Adult,NV
46032595,Lexi,Female,Young,NV
46032596,Hash,Male,Adult,NV
46032588,Gorilla,Male,Adult,NV
46032587,T-Bone,Male,Young,NV
46032589,Kale,Female,Young,NV
46032253,Sugar,Female,Adult,NV
46031946,Scooter,Male,Young,AZ
46031507,Sloth,Male,Adult,AZ
46031797,Arrow,Male,Young,NV
46031796,Tyler,Male,Young,NV
46029444,Bear,Male,Young,NV
46029446,Mochi,Male,Senior,NV
46028152,Goldie's Gus,Male,Baby,NV
46027977,Goldie's Ginger,Female,Baby,NV
46027945,Goldie's Gilligan,Male,Baby,NV
46027921,Goldie's Gabby,Female,Baby,NV
46027872,Goldie,Female,Young,NV
46027804,Vail,Female,Baby,NV
46027303,Freckles,Female,Young,NV
46026629,Bella,Female,Young,NV
46026616,Blackie,Male,Baby,NV
46026600,Sophie,Female,Baby,NV
46026454,Pixie,Female,Baby,NV
46026507,Princess,Female,Adult,NV
46026395,Doc Holiday,Male,Adult,NV
46026306,Lilac,Female,Baby,NV
46026195,Jax,Male,Senior,NV
46026170,Taquito,Male,Young,NV
46025014,Atlas,Male,Baby,NV
46024779,Trixie,Female,Young,NV
46024627,Lily,Female,Senior,NV
46023420,Bentley,Male,Adult,NV
46021809,Shandy,Female,Young,NV
46021807,Bianca,Female,Young,NV
46020352,Ara,Female,Adult,AZ
46020343,Sofie,Female,Baby,AZ
46020326,Lala,Female,Adult,AZ
46020312,Maximus,Male,Young,AZ
46020301,Bobbi,Female,Young,AZ
46020258,Marty,Male,Adult,AZ
46020245,Jackson,Male,Baby,AZ
46020236,Steve,Male,Adult,AZ
46020230,Mileena,Female,Adult,AZ
46015991,Eugene,Male,Young,NV
46015398,Lauren,Female,Young,NV
46015218,Frost,Female,Young,NV
46012741,Timbo,Male,Young,NV
46012739,Filepe,Male,Young,NV
46012718,Velma,Female,Adult,NV
46010922,Rhonda,Female,Young,NV
46010921,Bella,Female,Adult,NV
46010919,Precious,Female,Young,NV
46010918,Veronica,Female,Young,NV
46008181,Goldie,Female,Adult,NV
46007891,Flash,Male,Baby,NV
46007288,Paige,Female,Adult,NV
46005760,Monique,Female,Adult,NV
46005576,Kimo,Male,Adult,NV
46005725,Lobo,Male,Young,NV
46005633,Lara,Female,Baby,NV
46005567,Tower,Male,Baby,NV
46005531,Bambina,Female,Baby,NV
